"title","author","journal","number","cites","year","cid","pubid","scholar"
"gray matter volume changes following reading intervention in dyslexic children","AJ Krafnick, DL Flowers, EM Napoliello, GF Eden","Neuroimage","57 (3), 733-741",177,2011,"9682623435796684748","u5HHmVD_uO8C","LUIVSvAAAAAJ&hl=en&oi=sra"
"an investigation into the origin of anatomical differences in dyslexia","AJ Krafnick, DL Flowers, MM Luetje, EM Napoliello, GF Eden","Journal of Neuroscience","34 (3), 901-908",120,2014,"14640097776708213589","8Xgff_V0N9gC","LUIVSvAAAAAJ&hl=en&oi=sra"
"combined effects of elevated co2 and natural climatic variation on leaf spot diseases of redbud and sweetgum trees","AJ McElrone, JG Hamilton, AJ Krafnick, M Aldea, RG Knepp, EH DeLucia","Environmental Pollution","158 (1), 108-114",49,2010,"15777931172926882990","d1gkVwhDpl0C","LUIVSvAAAAAJ&hl=en&oi=sra"
"developmental dyslexia","GF Eden, OA Olulade, TM Evans, AJ Krafnick, DR Alkire","Neurobiology of Language","815-826",42,2016,"14183589372460860040,5603595067720363623","unp9ATQDT5gC","LUIVSvAAAAAJ&hl=en&oi=sra"
"chinese character and english word processing in children s ventral occipitotemporal cortex  fmri evidence for script invariance","AJ Krafnick, LH Tan, DL Flowers, MM Luetje, EM Napoliello, WT Siok, ...","NeuroImage","133, 302-312",33,2016,"12995662530258928027","T_ojBgVMvoEC","LUIVSvAAAAAJ&hl=en&oi=sra"
"a multi country test of brief reappraisal interventions on emotions during the covid 19 pandemic","K Wang, A Goldenberg, CA Dorison, JK Miller, A Uusberg, JS Lerner, ...","Nature Human Behaviour","1-22",27,2021,"1378911620228167506,7811165900480087482","AzKEL7Gb_04C","LUIVSvAAAAAJ&hl=en&oi=sra"
"neurobiological sex differences in developmental dyslexia","AJ Krafnick, TM Evans","Frontiers in Psychology","9, 2669",15,2019,"2163890208439900390","c1e4I3QdEKYC","LUIVSvAAAAAJ&hl=en&oi=sra"
"a global experiment on motivating social distancing during the covid 19 pandemic","N Legate, TT Nguyen, N Weinstein, AC Moller, L Legault, MR Maniaci, ...","","",8,2021,"9460422159397258094","CNPyR2KL9-0C","LUIVSvAAAAAJ&hl=en&oi=sra"
"drugs  the brain  and behavior  a graduate student run comprehensive course in neuroscience","LE Ullrich, AJ Krafnick, SB Dumanis, PA Forcelli","The Journal of Undergraduate Neuroscience Education","10 (2), A105-A112",6,2012,"14120395478591163603","9yKSN-GCB0IC","LUIVSvAAAAAJ&hl=en&oi=sra"
"a meta analysis of gray matter differences between bilinguals and monolinguals","A Danylkiv, AJ Krafnick","Frontiers in Human Neuroscience","14, 146",4,2020,"18355400975501401451,10011099265053471496","-yGd096yOn8C","LUIVSvAAAAAJ&hl=en&oi=sra"
"accelerated crep rrr  turri  buckwalter    blouw  2015 ","B Hall, J Wagge, CR Chartier, G Pfuhl, S Stieger, E Vergauwe, ED Musser, ...","PsyArXiv","",4,2018,"5825861413641890572","__bU50VfleQC","LUIVSvAAAAAJ&hl=en&oi=sra"
"functional and structural brain imaging studies of developmental dyslexia","AJ Krafnick","Georgetown University","",0,2013,NA,"Xz60mAmATU4C","LUIVSvAAAAAJ&hl=en&oi=sra"
"variability in the analysis of a single neuroimaging dataset by many teams","R Botvinik-Nezer, F Holzmeister, CF Camerer, A Dreber, J Huber, ...","Nature","582 (7810), 84-88",433,2020,"14054826620466282750,2990824982160225299,9230464713509534502","qjMakFHDy7sC","9b55074AAAAJ&hl=en&oi=sra"
"a multi country test of brief reappraisal interventions on emotions during the covid 19 pandemic","K Wang, A Goldenberg, CA Dorison, JK Miller, A Uusberg, JS Lerner, ...","Nature Human Behaviour","5 (8), 1089-1110",27,2021,"1378911620228167506,7811165900480087482,6270841076291413963","kNdYIx-mwKoC","9b55074AAAAJ&hl=en&oi=sra"
"two types of serial dependence in visual working memory","S Czoschke, C Fischer, J Beitner, J Kaiser, C Bledowski","British Journal of Psychology","110 (2), 256-267",23,2019,"16118753005459247818","d1gkVwhDpl0C","9b55074AAAAJ&hl=en&oi=sra"
"a global experiment on motivating social distancing during the covid 19 pandemic","N Legate, TT Nguyen, N Weinstein, AC Moller, L Legault, MR Maniaci, ...","","",8,2021,"9460422159397258094","KlAtU1dfN6UC","9b55074AAAAJ&hl=en&oi=sra"
