affiliation_tag_country,count
None,1402250
usa,655067
gbr,223838
deu,209378
fra,183393
ita,172604
jpn,150496
esp,144688
chn,138117
can,117093
aus,98609
nld,92173
che,63742
swe,54422
bra,51779
bel,48339
kor,44921
ind,39208
dnk,38234
rus,33652
pol,32208
fin,31963
twn,31756
aut,30709
nor,30316
tur,25858
prt,25142
isr,21686
grc,21139
zaf,20552
mex,19935
cze,19261
irl,17491
sgp,17135
irn,17095
chl,16640
arg,16293
hun,14354
sau,13389
nzl,12913
tha,10220
rou,10139
hkg,9988
egy,9551
pak,9164
col,9033
mys,8498
nga,7314
hrv,7080
idn,6888
srb,6158
vnm,6095
svn,5890
svk,5374
ken,5215
per,5090
ukr,4816
est,4540
bgr,4453
isl,4026
eth,3862
uga,3637
bgd,3583
phl,3492
ltu,3297
are,3089
gha,2975
tza,2759
mar,2615
ecu,2466
tun,2413
lbn,2408
qat,2399
geo,2341
cyp,2316
cmr,2104
lva,2038
npl,2034
lux,1852
lka,1743
mwi,1720
ven,1686
ury,1676
jor,1625
dza,1511
pri,1502
cri,1497
zmb,1476
irq,1460
cub,1385
arm,1379
sen,1239
blr,1236
zwe,1226
kaz,1219
pan,1213
bfa,1098
moz,1057
mlt,1049
kwt,1027
civ,1017
sdn,1001
bol,978
cog,956
omn,954
khm,917
mkd,904
bih,888
rwa,886
bwa,797
mdg,793
cod,775
ben,742
gtm,714
mli,708
mng,702
mmr,684
pse,591
alb,569
aze,552
pry,550
gab,543
gmb,541
lao,540
nam,537
sle,511
mac,501
png,493
dom,468
uzb,460
hnd,453
mne,414
jam,398
gin,389
mda,380
mco,371
lby,363
ner,362
kgz,350
bhr,343
tgo,336
guf,326
nic,317
fji,305
slv,299
syr,289
yem,289
ncl,273
lbr,254
hti,252
tto,251
mus,241
brb,222
pyf,217
grl,211
brn,202
swz,193
caf,184
afg,181
syc,157
glp,138
ago,137
bdi,136
btn,136
fro,134
gnb,131
mtq,126
reu,124
tjk,124
tcd,121
slb,120
wsm,113
guy,110
sux,108
lie,107
blz,106
sur,105
mrt,102
fsm,102
bhs,99
lso,99
bmu,89
cpv,88
grd,85
and,85
som,81
kna,66
vut,63
aia,56
eri,52
smr,49
gum,49
ssd,45
prk,44
flk,42
ton,40
dji,39
vir,37
ddr,37
tls,37
scg,36
gnq,36
dma,35
cok,34
mdv,34
plw,32
yug,31
vct,30
mhl,30
cym,29
gib,29
vgb,28
kir,28
cuw,25
ant,25
com,24
asm,23
tkm,23
eue,22
tca,19
abw,18
lca,17
ata,15
sun,14
atg,13
mnp,12
sgs,12
msr,12
vat,11
stp,10
myt,10
tuv,10
umi,7
shn,6
niu,5
sxm,5
csk,5
sjm,5
iot,5
tkl,3
nru,3
spm,3
wlf,2
esh,2
bur,1
cck,1
maf,1
bes,1
rom,1
