"CATEGORY","BIBTEXKEY","ADDRESS","ANNOTE","last","first","middle","BOOKTITLE","CHAPTER","CROSSREF","EDITION","HOWPUBLISHED","INSTITUTION","JOURNAL","KEY","MONTH","NOTE","NUMBER","ORGANIZATION","PAGES","PUBLISHER","SCHOOL","SERIES","TITLE","TYPE","VOLUME","YEAR","ISSN","SHORTTITLE","URL","DOI","ABSTRACT","LANGUAGE","URLDATE","COPYRIGHT","KEYWORDS","X.","FILE","PMID"
"ARTICLE","klein_investigating_2014",NA,NA,"Klein","Richard","A.",NA,NA,NA,NA,NA,NA,"Social Psychology",NA,"may",NA,"3",NA,"142--152",NA,NA,NA,"Investigating {Variation} in {Replicability}: {A} “{Many} {Labs}” {Replication} {Project",NA,"45",2014,"1864-9335, 2151-2590","Investigating {Variation} in {Replicability","https://econtent.hogrefe.com/doi/10.1027/1864-9335/a000178","10.1027/1864-9335/a000178","Although replication is a central tenet of science, direct replications are rare in psychology. This research tested variation in the replicability of 13 classic and contemporary effects across 36 independent samples totaling 6,344 participants. In the aggregate, 10 effects replicated consistently. One effect – imagined contact reducing prejudice – showed weak support for replicability. And two effects – flag priming influencing conservatism and currency priming influencing system justification – did not replicate. We compared whether the conditions such as lab versus online or US versus international sample predicted effect magnitudes. By and large they did not. The results of this small sample of effects suggest that replicability is more dependent on the effect itself than on the sample and setting used to investigate the effect.","en","2021-12-01",NA,NA,NA,NA,NA
"ARTICLE","klein_investigating_2014",NA,NA,"Ratliff","Kate","A.",NA,NA,NA,NA,NA,NA,"Social Psychology",NA,"may",NA,"3",NA,"142--152",NA,NA,NA,"Investigating {Variation} in {Replicability}: {A} “{Many} {Labs}” {Replication} {Project",NA,"45",2014,"1864-9335, 2151-2590","Investigating {Variation} in {Replicability","https://econtent.hogrefe.com/doi/10.1027/1864-9335/a000178","10.1027/1864-9335/a000178","Although replication is a central tenet of science, direct replications are rare in psychology. This research tested variation in the replicability of 13 classic and contemporary effects across 36 independent samples totaling 6,344 participants. In the aggregate, 10 effects replicated consistently. One effect – imagined contact reducing prejudice – showed weak support for replicability. And two effects – flag priming influencing conservatism and currency priming influencing system justification – did not replicate. We compared whether the conditions such as lab versus online or US versus international sample predicted effect magnitudes. By and large they did not. The results of this small sample of effects suggest that replicability is more dependent on the effect itself than on the sample and setting used to investigate the effect.","en","2021-12-01",NA,NA,NA,NA,NA
"ARTICLE","klein_investigating_2014",NA,NA,"Vianello","Michelangelo",NA,NA,NA,NA,NA,NA,NA,"Social Psychology",NA,"may",NA,"3",NA,"142--152",NA,NA,NA,"Investigating {Variation} in {Replicability}: {A} “{Many} {Labs}” {Replication} {Project",NA,"45",2014,"1864-9335, 2151-2590","Investigating {Variation} in {Replicability","https://econtent.hogrefe.com/doi/10.1027/1864-9335/a000178","10.1027/1864-9335/a000178","Although replication is a central tenet of science, direct replications are rare in psychology. This research tested variation in the replicability of 13 classic and contemporary effects across 36 independent samples totaling 6,344 participants. In the aggregate, 10 effects replicated consistently. One effect – imagined contact reducing prejudice – showed weak support for replicability. And two effects – flag priming influencing conservatism and currency priming influencing system justification – did not replicate. We compared whether the conditions such as lab versus online or US versus international sample predicted effect magnitudes. By and large they did not. The results of this small sample of effects suggest that replicability is more dependent on the effect itself than on the sample and setting used to investigate the effect.","en","2021-12-01",NA,NA,NA,NA,NA
"ARTICLE","klein_investigating_2014",NA,NA,"Adams","Reginald","B.",NA,NA,NA,NA,NA,NA,"Social Psychology",NA,"may",NA,"3",NA,"142--152",NA,NA,NA,"Investigating {Variation} in {Replicability}: {A} “{Many} {Labs}” {Replication} {Project",NA,"45",2014,"1864-9335, 2151-2590","Investigating {Variation} in {Replicability","https://econtent.hogrefe.com/doi/10.1027/1864-9335/a000178","10.1027/1864-9335/a000178","Although replication is a central tenet of science, direct replications are rare in psychology. This research tested variation in the replicability of 13 classic and contemporary effects across 36 independent samples totaling 6,344 participants. In the aggregate, 10 effects replicated consistently. One effect – imagined contact reducing prejudice – showed weak support for replicability. And two effects – flag priming influencing conservatism and currency priming influencing system justification – did not replicate. We compared whether the conditions such as lab versus online or US versus international sample predicted effect magnitudes. By and large they did not. The results of this small sample of effects suggest that replicability is more dependent on the effect itself than on the sample and setting used to investigate the effect.","en","2021-12-01",NA,NA,NA,NA,NA
"ARTICLE","klein_investigating_2014",NA,NA,"Bahník","Štěpán",NA,NA,NA,NA,NA,NA,NA,"Social Psychology",NA,"may",NA,"3",NA,"142--152",NA,NA,NA,"Investigating {Variation} in {Replicability}: {A} “{Many} {Labs}” {Replication} {Project",NA,"45",2014,"1864-9335, 2151-2590","Investigating {Variation} in {Replicability","https://econtent.hogrefe.com/doi/10.1027/1864-9335/a000178","10.1027/1864-9335/a000178","Although replication is a central tenet of science, direct replications are rare in psychology. This research tested variation in the replicability of 13 classic and contemporary effects across 36 independent samples totaling 6,344 participants. In the aggregate, 10 effects replicated consistently. One effect – imagined contact reducing prejudice – showed weak support for replicability. And two effects – flag priming influencing conservatism and currency priming influencing system justification – did not replicate. We compared whether the conditions such as lab versus online or US versus international sample predicted effect magnitudes. By and large they did not. The results of this small sample of effects suggest that replicability is more dependent on the effect itself than on the sample and setting used to investigate the effect.","en","2021-12-01",NA,NA,NA,NA,NA
"ARTICLE","klein_investigating_2014",NA,NA,"Bernstein","Michael","J.",NA,NA,NA,NA,NA,NA,"Social Psychology",NA,"may",NA,"3",NA,"142--152",NA,NA,NA,"Investigating {Variation} in {Replicability}: {A} “{Many} {Labs}” {Replication} {Project",NA,"45",2014,"1864-9335, 2151-2590","Investigating {Variation} in {Replicability","https://econtent.hogrefe.com/doi/10.1027/1864-9335/a000178","10.1027/1864-9335/a000178","Although replication is a central tenet of science, direct replications are rare in psychology. This research tested variation in the replicability of 13 classic and contemporary effects across 36 independent samples totaling 6,344 participants. In the aggregate, 10 effects replicated consistently. One effect – imagined contact reducing prejudice – showed weak support for replicability. And two effects – flag priming influencing conservatism and currency priming influencing system justification – did not replicate. We compared whether the conditions such as lab versus online or US versus international sample predicted effect magnitudes. By and large they did not. The results of this small sample of effects suggest that replicability is more dependent on the effect itself than on the sample and setting used to investigate the effect.","en","2021-12-01",NA,NA,NA,NA,NA
"ARTICLE","klein_investigating_2014",NA,NA,"Bocian","Konrad",NA,NA,NA,NA,NA,NA,NA,"Social Psychology",NA,"may",NA,"3",NA,"142--152",NA,NA,NA,"Investigating {Variation} in {Replicability}: {A} “{Many} {Labs}” {Replication} {Project",NA,"45",2014,"1864-9335, 2151-2590","Investigating {Variation} in {Replicability","https://econtent.hogrefe.com/doi/10.1027/1864-9335/a000178","10.1027/1864-9335/a000178","Although replication is a central tenet of science, direct replications are rare in psychology. This research tested variation in the replicability of 13 classic and contemporary effects across 36 independent samples totaling 6,344 participants. In the aggregate, 10 effects replicated consistently. One effect – imagined contact reducing prejudice – showed weak support for replicability. And two effects – flag priming influencing conservatism and currency priming influencing system justification – did not replicate. We compared whether the conditions such as lab versus online or US versus international sample predicted effect magnitudes. By and large they did not. The results of this small sample of effects suggest that replicability is more dependent on the effect itself than on the sample and setting used to investigate the effect.","en","2021-12-01",NA,NA,NA,NA,NA
"ARTICLE","klein_investigating_2014",NA,NA,"Brandt","Mark","J.",NA,NA,NA,NA,NA,NA,"Social Psychology",NA,"may",NA,"3",NA,"142--152",NA,NA,NA,"Investigating {Variation} in {Replicability}: {A} “{Many} {Labs}” {Replication} {Project",NA,"45",2014,"1864-9335, 2151-2590","Investigating {Variation} in {Replicability","https://econtent.hogrefe.com/doi/10.1027/1864-9335/a000178","10.1027/1864-9335/a000178","Although replication is a central tenet of science, direct replications are rare in psychology. This research tested variation in the replicability of 13 classic and contemporary effects across 36 independent samples totaling 6,344 participants. In the aggregate, 10 effects replicated consistently. One effect – imagined contact reducing prejudice – showed weak support for replicability. And two effects – flag priming influencing conservatism and currency priming influencing system justification – did not replicate. We compared whether the conditions such as lab versus online or US versus international sample predicted effect magnitudes. By and large they did not. The results of this small sample of effects suggest that replicability is more dependent on the effect itself than on the sample and setting used to investigate the effect.","en","2021-12-01",NA,NA,NA,NA,NA
"ARTICLE","klein_investigating_2014",NA,NA,"Brooks","Beach",NA,NA,NA,NA,NA,NA,NA,"Social Psychology",NA,"may",NA,"3",NA,"142--152",NA,NA,NA,"Investigating {Variation} in {Replicability}: {A} “{Many} {Labs}” {Replication} {Project",NA,"45",2014,"1864-9335, 2151-2590","Investigating {Variation} in {Replicability","https://econtent.hogrefe.com/doi/10.1027/1864-9335/a000178","10.1027/1864-9335/a000178","Although replication is a central tenet of science, direct replications are rare in psychology. This research tested variation in the replicability of 13 classic and contemporary effects across 36 independent samples totaling 6,344 participants. In the aggregate, 10 effects replicated consistently. One effect – imagined contact reducing prejudice – showed weak support for replicability. And two effects – flag priming influencing conservatism and currency priming influencing system justification – did not replicate. We compared whether the conditions such as lab versus online or US versus international sample predicted effect magnitudes. By and large they did not. The results of this small sample of effects suggest that replicability is more dependent on the effect itself than on the sample and setting used to investigate the effect.","en","2021-12-01",NA,NA,NA,NA,NA
"ARTICLE","klein_investigating_2014",NA,NA,"Brumbaugh","Claudia","Chloe",NA,NA,NA,NA,NA,NA,"Social Psychology",NA,"may",NA,"3",NA,"142--152",NA,NA,NA,"Investigating {Variation} in {Replicability}: {A} “{Many} {Labs}” {Replication} {Project",NA,"45",2014,"1864-9335, 2151-2590","Investigating {Variation} in {Replicability","https://econtent.hogrefe.com/doi/10.1027/1864-9335/a000178","10.1027/1864-9335/a000178","Although replication is a central tenet of science, direct replications are rare in psychology. This research tested variation in the replicability of 13 classic and contemporary effects across 36 independent samples totaling 6,344 participants. In the aggregate, 10 effects replicated consistently. One effect – imagined contact reducing prejudice – showed weak support for replicability. And two effects – flag priming influencing conservatism and currency priming influencing system justification – did not replicate. We compared whether the conditions such as lab versus online or US versus international sample predicted effect magnitudes. By and large they did not. The results of this small sample of effects suggest that replicability is more dependent on the effect itself than on the sample and setting used to investigate the effect.","en","2021-12-01",NA,NA,NA,NA,NA
